"Anno di dimissione;""Codice Istituto"";""Denominazione Istituto"";""Num decessi"";""Num dimissioni a domicilio"";""Num dimissioni verso altra struttura"""
"2022;""03091600"";""OSPEDALE L. SACCO - MILANO"";""579"";""13.437"";""686"""
"2022;""03092000"";""I.N.R.C.A.- PRESIDIO DI CASATENOVO"";""30"";""1.080"";""75"""
"2022;""03092200"";""FOND.IRCCS """"ISTIT.NAZ.LE TUMORI""""MILANO"";""77"";""16.526"";""99"""
"2022;""03092300"";""FOND.IRCCS IST.NAZ.NEUROLOGICO C.BESTA-M"";""16"";""4.611"";""449"""
"2022;""03092400"";""POLICLINICO S. MATTEO - PAVIA"";""1.001"";""26.757"";""3.138"""
"2022;""03092500"";""FONDAZ.IRCCS CA' GRANDA - OSPEDALE MAGGI"";""773"";""39.090"";""1.576"""
"2022;""03093000"";""IRCCS CENTRO MEDICO TRADATE"";""***"";""1.412"";""125"""
"2022;""03093100"";""ISTITUTO SCIENTIFICO MEDEA-BOSISIO P."";""***"";""1.834"";""27"""
"2022;""03093200"";""IRCCS CENTRO MEDICO DI LUMEZZANE"";""24"";""844"";""120"""
"2022;""03093300"";""IRCCS CENTRO MEDICO DI CASTEL GOFFREDO"";""14"";""381"";""195"""
"2022;""03093400"";""CENTRO CARDIOLOGICO """"FOND. MONZINO"""" - MI"";""97"";""7.920"";""694"""
"2022;""03093500"";""IRCCS    S. RAFFAELE - MILANO"";""839"";""44.681"";""1.265"""
"2022;""03093601"";""IST.AUXOLOGICO ITALIANO-I.S. S.LUCA-MILA"";""82"";""3.995"";""329"""
"2022;""03093602"";""IST.AUXOLOGICO ITAL.-I.S. S.MICHELE-MILA"";""***"";""128"";""***"""
"2022;""03093603"";""IRCCS OSPEDALE CAPITANIO"";""***"";""5.300"";""596"""
"2022;""03093700"";""IRCCS S.M.NASCENTE-FOND.DON C.GNOCCHI-MI"";""6"";""1.020"";""236"""
"2022;""03093800"";""IRCCS CENTRO MEDICO DI PAVIA"";""118"";""6.229"";""474"""
"2022;""03093900"";""FOND.IST.NEUROL.C.MONDINO-PAVIA"";""9"";""3.186"";""392"""
"2022;""03094000"";""IRCCS CENTRO MEDICO MONTESCANO"";""11"";""1.332"";""212"""
"2022;""03094100"";""ISTITUTO EUROPEO DI ONCOLOGIA-MILANO"";""66"";""16.274"";""207"""
"2022;""03094200"";""IRCCS S.GIOVANNI DI DIO-FBF- BRESCIA"";""***"";""466"";""58"""
"2022;""03094300"";""IST. CLIN. HUMANITAS - ROZZANO"";""788"";""42.681"";""1.954"""
"2022;""03094601"";""IRCCS OSPEDALE GALEAZZI SANT'AMBROGIO"";""48"";""12.665"";""3.034"""
"2022;""03094602"";""IST.CLINICO S.SIRO SPA-MILANO"";""***"";""3.138"";""1.837"""
"2022;""03094700"";""I.R.C.C.S. POLICLINICO SAN DONATO"";""435"";""12.205"";""1.976"""
"2022;""03094800"";""IRCCS MULTIMEDICA - MILANO"";""246"";""6.388"";""933"""
"2022;""03094900"";""IRCCS IST. SCIENTIFICO DI RIABILITAZIONE"";""13"";""729"";""200"""
"2022;""03095000"";""SAN RAFFAELE TURRO"";""27"";""2.414"";""203"""
"2022;""04100100"";""OSPEDALE CENTRALE DI BOLZANO"";""937"";""22.841"";""3.640"""
"2022;""04100200"";""OSPEDALE AZIENDALE DI MERANO"";""291"";""11.721"";""1.576"""
"2022;""04100400"";""OSPEDALE AZIENDALE DI BRESSANONE"";""172"";""10.293"";""844"""
"2022;""04100500"";""OSPEDALE AZIENDALE DI BRUNICO"";""148"";""8.592"";""923"""
"2022;""04100600"";""OSPEDALE DI BASE DI VIPITENO"";""42"";""2.784"";""455"""
"2022;""04100700"";""OSPEDALE DI BASE DI SAN CANDIDO"";""33"";""1.903"";""238"""
"2022;""04101100"";""OSPEDALE DI BASE DI SILANDRO"";""97"";""3.250"";""349"""
"2022;""04101300"";""MARIA SRL IMPRESA SOCIALE"";""6"";""752"";""118"""
"2022;""04101400"";""CASA DI CURA VILLA SANT'ANNA"";""51"";""914"";""39"""
"2022;""04101500"";""CASA DI CURA BONVICINI S.R.L."";""31"";""715"";""409"""
"2022;""04101700"";""MELITTAKLINIK 1"";""***"";""155"";""48"""
"2022;""04102600"";""CASA DI CURA SALUS CENTER SRL"";""***"";""944"";""91"""
"2022;""04102800"";""CENTRO DI CHIRURGIA S.ANNA"";""***"";""584"";""***"""
"2022;""04103000"";""DOLOMITI SPORTCLINIC SRL"";""***"";""525"";""20"""
"2022;""04103100"";""BRIXSANA PRIVATE CLINIC GMBH/SRL"";""***"";""877"";""***"""
"2022;""04103200"";""CITY CLINIC SRL"";""***"";""1.418"";""***"""
"2022;""04103300"";""MELITTAKLINIK 2"";""***"";""995"";""125"""
"2022;""04103400"";""SANITAS BRUNICO"";""***"";""18"";""6"""
"2022;""04200101"";""PRESIDIO OSPEDALIERO S. CHIARA"";""730"";""25.291"";""3.635"""
"2022;""04200103"";""PRESIDIO OSPEDALIERO VILLA ROSA"";""6"";""701"";""97"""
"2022;""04200104"";""PRESIDIO OSPEDALIERO VILLA IGEA"";""***"";""1.391"";""***"""
"2022;""04200400"";""PRESIDIO OSPEDALIERO DI BORGO VALSUGANA"";""107"";""2.202"";""527"""
"2022;""04200500"";""PRESIDIO OSPEDALIERO DI CLES"";""108"";""3.566"";""508"""
"2022;""04200600"";""OSPEDALE DI ROVERETO"";""303"";""12.019"";""1.572"""
"2022;""04200700"";""PRESIDIO OSPEDALIERO DI TIONE"";""93"";""2.104"";""385"""
"2022;""04201000"";""PRESIDIO OSPEDALIERO DI ARCO"";""137"";""2.772"";""500"""
"2022;""04201400"";""PRESIDIO OSPEDALIERO DI CAVALESE"";""64"";""3.062"";""370"""
"2022;""04201500"";""OSPEDALE SAN CAMILLO"";""39"";""2.305"";""546"""
"2022;""04201600"";""KOS CARE SRL - U.O. OSP. S.PANCRAZIO"";""***"";""1.554"";""66"""
"2022;""04201800"";""CASA DI CURA EREMO DI ARCO SRL"";""***"";""2.128"";""109"""
"2022;""04201900"";""CASA DI CURA REGINA"";""11"";""1.449"";""270"""
"2022;""04202000"";""CASA DI CURA SOLATRIX"";""35"";""2.758"";""1.000"""
"2022;""04202200"";""CASA DI CURA VILLA BIANCA"";""***"";""2.158"";""6"""
"2022;""05001700"";""OSPEDALE SACRO CUORE DON CALABRIA"";""519"";""29.291"";""1.843"""
"2022;""05001800"";""OSPEDALE CLASSIFICATO VILLA S. GIULIANA"";""***"";""776"";""***"""
"2022;""05001900"";""CASA DI CURA CENTRO RIABILIT VERONESE"";""***"";""991"";""117"""
"2022;""05002100"";""CASA DI CURA VILLA GARDA"";""***"";""1.610"";""148"""
"2022;""05002200"";""OSPEDALE PEDERZOLI CASA DI CURA SPA"";""321"";""18.849"";""1.182"""
"2022;""05002300"";""CLINICA SAN FRANCESCO SPA - CASA DI CURA"";""***"";""3.969"";""901"""
"2022;""05002500"";""CASA DI CURA VILLA SANTA CHIARA"";""***"";""1.026"";""29"""
"2022;""05004500"";""CASA DI CURA ERETENIA"";""10"";""3.356"";""55"""
"2022;""05004600"";""CASA DI CURA VILLA BERICA"";""17"";""3.428"";""376"""
"2022;""05004700"";""CASA DI CURA VILLA MARGHERITA KOS CARE"";""***"";""861"";""19"""
"2022;""05007200"";""OSPEDALE DI MOTTA DI LIVENZA"";""28"";""2.157"";""312"""
"2022;""05007900"";""OSPEDALE CLASSIFICATO SAN CAMILLO"";""64"";""3.712"";""341"""
"2022;""05008000"";""CASA DI CURA PARK VILLA NAPOLEON"";""***"";""889"";""20"""
"2022;""05008100"";""CASA DI CURA GIOVANNI XXIII"";""45"";""6.764"";""681"""
"2022;""05009700"";""OSP. S.RAFFAELE ARCANG. FATEBENEFRATELLI"";""***"";""622"";""54"""
"2022;""05009800"";""FONDAZIONE VILLA SALUS"";""109"";""3.669"";""884"""
"2022;""05009900"";""CASA DI CURA POLICLINICO SAN MARCO SPA"";""62"";""3.306"";""336"""
"2022;""05010000"";""CASA DI CURA SILENO E ANNA RIZZOLA"";""138"";""3.217"";""529"""
"2022;""05012000"";""CASA DI CURA DIAZ"";""***"";""28"";""***"""
"2022;""05012100"";""CASA DI CURA VILLA MARIA SPA"";""20"";""1.962"";""295"""
"2022;""05012200"";""CASA DI CURA 'TRIESTE'"";""***"";""1.166"";""24"""
"2022;""05012300"";""CASA DI CURA ABANO TERME POLISPEC. E TER"";""164"";""10.995"";""1.415"""
"2022;""05012400"";""CASA DI CURA PARCO DEI TIGLI"";""***"";""1.363"";""30"""
"2022;""05014001"";""IRCSS MEDEA CONEGLIANO"";""***"";""1.148"";""13"""
"2022;""05014002"";""IRCSS MEDEA PIEVE DI SOLIGO"";""***"";""706"";""11"""
"2022;""05014100"";""CASA DI CURA CITTÀ DI ROVIGO"";""7"";""1.150"";""119"""
"2022;""05014800"";""CLINICA RIABILITATIVA SRL"";""***"";""52"";""***"""
"2022;""05014900"";""GVM CORTINA S.R.L."";""***"";""754"";""208"""
"2022;""05015000"";""CASA DI CURA SANTA MARIA MADDALENA"";""17"";""3.648"";""72"""
"2022;""05015100"";""CASA DI CURA MADONNA DELLA SALUTE"";""179"";""3.146"";""877"""
"2022;""05050101"";""OSPEDALE DI  BELLUNO"";""462"";""8.427"";""953"""
"2022;""05050102"";""OSPEDALE DI AGORDO"";""51"";""995"";""143"""
"2022;""05050103"";""OSPEDALE DI PIEVE DI CADORE"";""68"";""409"";""96"""
"2022;""05050104"";""OSPEDALE DI  FELTRE"";""380"";""8.042"";""1.030"""
"2022;""05050105"";""OSPEDALE DI  LAMON"";""***"";""457"";""27"""
"2022;""05050201"";""OSPEDALE DI  TREVISO"";""1.396"";""33.456"";""3.777"""
"2022;""05050202"";""OSPEDALE DI  ODERZO"";""206"";""5.100"";""364"""
"2022;""05050204"";""OSPEDALE DI  CONEGLIANO"";""601"";""12.169"";""1.203"""
"2022;""05050205"";""OSPEDALE DI VITTORIO VENETO"";""373"";""5.174"";""717"""
"2022;""05050206"";""OSPEDALE DI CASTELFRANCO"";""381"";""6.692"";""939"""
"2022;""05050207"";""OSPEDALE DI MONTEBELLUNA"";""514"";""10.007"";""1.201"""
"2022;""05050301"";""OSPEDALE DI MESTRE"";""1.263"";""21.349"";""2.498"""
"2022;""05050302"";""OSPEDALE DI VENEZIA"";""639"";""7.940"";""1.084"""
"2022;""05050303"";""OSPEDALE DI DOLO"";""752"";""6.022"";""828"""
"2022;""05050304"";""OSPEDALE DI MIRANO"";""537"";""9.738"";""570"""
"2022;""05050306"";""OSPEDALE DI CHIOGGIA"";""325"";""5.641"";""504"""
"2022;""05050401"";""OSPEDALE DI PORTOGRUARO"";""477"";""6.444"";""545"""
"2022;""05050402"";""OSPEDALE DI SAN DONA' DI PIAVE"";""527"";""7.296"";""449"""
"2022;""05050403"";""OSPEDALE DI JESOLO"";""154"";""414"";""198"""
"2022;""05050501"";""OSPEDALE DI ROVIGO"";""864"";""12.608"";""878"""
"2022;""05050502"";""OSPEDALE DI TRECENTA"";""247"";""1.021"";""285"""
"2022;""05050503"";""OSPEDALE DI ADRIA"";""250"";""3.495"";""411"""
"2022;""05050601"";""OSPEDALE DI CITTADELLA"";""436"";""10.631"";""795"""
"2022;""05050602"";""OSPEDALE DI CAMPOSAMPIERO"";""398"";""10.989"";""705"""
"2022;""05050604"";""OSPEDALE DI PIOVE DI SACCO"";""366"";""4.675"";""617"""
"2022;""05050605"";""OSPEDALE DI SCHIAVONIA"";""744"";""11.354"";""830"""
"2022;""05050607"";""OSPEDALE DI CONSELVE"";""***"";""118"";""51"""
"2022;""05050701"";""OSPEDALE DI BASSANO"";""585"";""13.779"";""1.270"""
"2022;""05050702"";""OSPEDALE DI ASIAGO"";""113"";""1.621"";""248"""
"2022;""05050703"";""OSPEDALE DI SANTORSO"";""739"";""15.051"";""1.649"""
"2022;""05050801"";""OSPEDALE DI VICENZA"";""1.198"";""25.762"";""2.379"""
"2022;""05050802"";""OSPEDALE DI NOVENTA"";""171"";""1.799"";""179"""
"2022;""05050803"";""OSPEDALE DI ARZIGNANO"";""285"";""8.037"";""475"""
"2022;""05050804"";""OSPEDALE DI LONIGO"";""***"";""683"";""51"""
"2022;""05050805"";""OSPEDALE DI MONTECCHIO"";""***"";""65"";""***"""
"2022;""05050806"";""OSPEDALE DI VALDAGNO"";""306"";""4.795"";""510"""
"2022;""05050901"";""OSPEDALE DI LEGNAGO"";""652"";""11.229"";""1.123"""
"2022;""05050902"";""OSPEDALE DI BOVOLONE"";""***"";""507"";""44"""
"2022;""05050903"";""OSPEDALE DI SAN BONIFACIO"";""493"";""9.796"";""1.329"""
"2022;""05050904"";""OSPEDALE DI MARZANA"";""***"";""337"";""76"""
"2022;""05050905"";""OSPEDALE DI VILLAFRANCA"";""369"";""6.319"";""682"""
"2022;""05050906"";""OSPEDALE DI BUSSOLENGO"";""32"";""891"";""287"""
"2022;""05050907"";""OSPEDALE DI MALCESINE"";""***"";""448"";""***"""
"2022;""05090100"";""AZIENDA OSPEDALE - UNIVERSITA' PADOVA"";""2.164"";""58.584"";""3.582"""
"2022;""05091201"";""AOUI VERONA BORGO TRENTO"";""1.026"";""37.305"";""2.324"""
"2022;""05091202"";""AOUI DI VERONA BORGO ROMA"";""722"";""15.594"";""402"""
"2022;""05095100"";""SAN CAMILLO IRCCS  SRL"";""8"";""298"";""114"""
"2022;""05095201"";""IOV PADOVA"";""89"";""3.879"";""124"""
"2022;""05095202"";""IOV SEDE CASTELFRANCO"";""59"";""4.023"";""98"""
"2022;""06000200"";""IST.DI MEDICINA FISICA E RIABILITAZIONE"";""***"";""263"";""98"""
"2022;""06001100"";""POLICLINICO CITTA` DI UDINE - CC PRIVATA"";""51"";""4.466"";""***"""
"2022;""06002900"";""SANATORIO TRIESTINO  S.P.A."";""***"";""2.314"";""31"""
"2022;""06003301"";""SALUS"";""16"";""2.793"";""353"""
"2022;""06003302"";""PINETA DEL CARSO"";""7"";""983"";""99"""
"2022;""06004000"";""CASA DI CURA PRIVATA 'S.GIORGIO' SPA"";""45"";""7.587"";""133"""
"2022;""06004100"";""PRESIDIO OSPEDALIERO SANTA MARIA DEGLI A"";""1.226"";""16.867"";""1.539"""
"2022;""06004201"";""P.O. SAN VITO AL T. SEDE DI S. VITO AL T"";""201"";""5.293"";""315"""
"2022;""06004202"";""P.O. SAN VITO AL T. SEDE DI SPILIMBERGO"";""179"";""1.982"";""72"""
"2022;""06004301"";""PO GORIZIA E MONFALCONE SEDE GORIZIA"";""401"";""4.427"";""584"""
"2022;""06004302"";""PO GORIZIA E MONFALCONE SEDE MONFALCONE"";""355"";""6.946"";""591"""
"2022;""06004401"";""PO LATISANA E PALMANOVA SEDE LATISANA"";""252"";""4.714"";""480"""
"2022;""06004402"";""PO LATISANA E PALMANOVA SEDE PALMANOVA"";""442"";""3.433"";""430"""
"2022;""06004501"";""SEDE DI SAN DANIELE"";""369"";""5.726"";""564"""
"2022;""06004502"";""SEDE DI TOLMEZZO"";""268"";""5.457"";""435"""
"2022;""06004600"";""PRESIDIO OSP. CATTINARA E MAGGIORE DI TS"";""1.375"";""16.276"";""2.816"""
"2022;""06004700"";""PRESIDIO OSPEDALIERO 'S.M.M' DI UDINE"";""1.588"";""33.148"";""2.854"""
"2022;""06004702"";""PRESIDIO OSPEDALIERO 'S.M.M' DI UDINE"";""***"";""***"";""***"""
"2022;""06090100"";""I.R.C.C.S.  BURLO GAROFOLO"";""10"";""10.623"";""46"""
"2022;""06090200"";""CENTRO  RIFERIMENTO ONCOLOGICO"";""86"";""4.480"";""103"""
"2022;""07000101"";""STABILIMENTO OSPEDALIERO DI IMPERIA"";""520"";""8.788"";""801"""
"2022;""07000102"";""STABILIMENTO OSPEDALIERO DI SANREMO"";""496"";""6.146"";""578"""
"2022;""07000103"";""STABILIMENTO OSPEDALIERO DI BORDIGHERA"";""26"";""284"";""141"""
"2022;""07001600"";""CASA DI CURA SAN MICHELE - ENNE S.R.L."";""***"";""1.879"";""22"""
"2022;""07002500"";""E.O. OSPEDALI GALLIERA"";""771"";""19.203"";""1.928"""
"2022;""07003901"";""OSP. RIUNITI LEONARDI E RIBOLI LAVAGNA"";""428"";""8.249"";""1.081"""
"2022;""07003902"";""OSPEDALE CIVILE DI SESTRI LEVANTE"";""177"";""1.663"";""470"""
"2022;""07003905"";""OSPEDALE N.S. DI MONTALLEGRO"";""104"";""3.314"";""518"""
"2022;""07005101"";""EVANGELICO INTERNAZIONALE CASTELLETTO"";""***"";""3.100"";""69"""
"2022;""07005102"";""EVANGELICO-SAN CARLO VOLTRI"";""201"";""4.123"";""668"""
"2022;""07005801"";""OSPEDALE SANT`ANDREA LA SPEZIA"";""633"";""10.421"";""1.449"""
"2022;""07005803"";""OSPEDALE SAN NICOLO` LEVANTO"";""13"";""36"";""59"""
"2022;""07005804"";""STABILIMENTO SAN BARTOLOMEO DI SARZANA"";""707"";""6.715"";""1.174"""
"2022;""07006500"";""CASA DI CURA VILLA MONTALLEGRO"";""45"";""2.981"";""34"""
"2022;""07006600"";""VILLA SERENA S.P.A."";""11"";""1.315"";""11"""
"2022;""07006900"";""ICLAS  S.R.L."";""14"";""1.891"";""577"""
"2022;""07007000"";""CASA DI CURA 'ALMA MATER'"";""14"";""1.227"";""46"""
"2022;""07007400"";""ISTITUTO CARDIOVASCOLARE CAMOGLI"";""***"";""935"";""73"""
"2022;""07011300"";""SANT'ANNA SRL"";""***"";""201"";""24"""
"2022;""07011400"";""CENTRO RIABILITAZIONE DON CARLO GNOCCHI"";""10"";""634"";""138"""
"2022;""07021101"";""OSPEDALE SANTA MARIA MISERICORDIA"";""272"";""2.008"";""605"""
"2022;""07021102"";""OSPEDALE SANTA CORONA"";""648"";""10.229"";""1.751"""
"2022;""07021203"";""OSPEDALE SAN GIUSEPPE"";""***"";""166"";""15"""
"2022;""07021204"";""OSPEDALE SAN PAOLO"";""1.092"";""14.978"";""2.578"""
"2022;""07030101"";""OSPEDALE LA COLLETTA ARENZANO"";""***"";""1.046"";""108"""
"2022;""07030103"";""OSPEDALE PADRE ANTERO MICONE SESTRI P."";""153"";""3.202"";""250"""
"2022;""07030104"";""OSPEDALE VILLA SCASSI"";""848"";""11.680"";""1.895"""
"2022;""07030105"";""OSPEDALE GALLINO"";""106"";""1.226"";""235"""
"2022;""07032100"";""IST. BIOMEDICAL S.P.A."";""***"";""118"";""***"""
"2022;""07090100"";""IRCCS OSPEDALE POLICLINICO SAN MARTINO"";""1.891"";""39.739"";""4.720"""
"2022;""07094000"";""IST.G.GASLINI"";""21"";""10.641"";""119"""
"2022;""07094001"";""ISTITUTO GIANNINA GASLINI"";""15"";""16.627"";""134"""
"2022;""07094011"";""ISTITUTO GIANNINA GASLINI - SEDE IMPERIA"";""***"";""747"";""22"""
"2022;""07094024"";""ISTITUTO GIANNINA GASLINI - SEDE SAVONA"";""***"";""949"";""34"""
"2022;""07094041"";""ISTITUTO GIANNINA GASLINI - SEDE LAVAGNA"";""***"";""396"";""19"""
"2022;""07094051"";""ISTITUTO GIANNINA GASLINI - SEDE SPEZIA"";""***"";""666"";""29"""
"2022;""07096000"";""FONDAZIONE SALVATORE MAUGERI"";""***"";""683"";""108"""
"2022;""08000401"";""OSPEDALE """"GUGLIELMO DA SALICETO"""" PIACENZ"";""882"";""19.833"";""2.920"""
"2022;""08000403"";""OSPEDALE CASTEL SAN GIOVANNI"";""155"";""2.915"";""446"""
"2022;""08000405"";""OSPEDALE FIORENZUOLA D'ARDA"";""172"";""896"";""510"""
"2022;""08000407"";""OSPEDALE DI MONTAGNA DI BOBBIO"";""36"";""94"";""80"""
"2022;""08001301"";""OSPEDALE FIDENZA"";""366"";""9.105"";""1.242"""
"2022;""08001303"";""OSPEDALE 'S.MARIA' BORGO VAL DI TARO"";""109"";""2.480"";""400"""
"2022;""08002101"";""OSPEDALE CIVILE GUASTALLA"";""276"";""4.521"";""1.139"""
"2022;""08002102"";""OSPEDALE """"S.SEBASTIANO"""" CORREGGIO"";""113"";""1.695"";""521"""
"2022;""08002103"";""OSPEDALE """"E.FRANCHINI"""" MONTECCHIO"";""201"";""4.623"";""540"""
"2022;""08002104"";""OSPEDALE """"G.MAGATI"""" SCANDIANO"";""147"";""2.319"";""292"""
"2022;""08002105"";""OSPEDALE """"S.ANNA"""" CASTELNOVO NE MONTI"";""171"";""2.237"";""523"""
"2022;""08002106"";""ARCISPEDALE SANTA MARIA NUOVA DI REGGIO"";""1.181"";""23.957"";""2.810"""
"2022;""08002107"";""ISTITUTO IN TECNOLOGIE AVANZATE E MODELL"";""203"";""6.100"";""180"""
"2022;""08003104"";""OSPEDALE  """"B. RAMAZZINI""""  CARPI"";""355"";""10.080"";""1.441"""
"2022;""08003105"";""OSPEDALE """"SANTA MARIA BIANCA""""  MIRANDOLA"";""256"";""3.638"";""523"""
"2022;""08003108"";""OSPEDALE VIGNOLA"";""185"";""2.893"";""636"""
"2022;""08003109"";""OSPEDALE PAVULLO NEL FRIGNANO"";""196"";""2.539"";""953"""
"2022;""08004401"";""OSPEDALE CIVILE NUOVO """"S.MARIA DELLA SCA"";""700"";""11.050"";""2.056"""
"2022;""08004402"";""OSPEDALE CASTEL SAN PIETRO TERME"";""***"";""232"";""***"""
"2022;""08004500"";""OSPEDALE MONTECATONE REHABILITATION INST"";""7"";""1.133"";""238"""
"2022;""08005301"";""OSPEDALE MAGGIORE """"C.A. PIZZARDI"""""";""1.283"";""22.166"";""3.865"""
"2022;""08005302"";""OSPEDALE BELLARIA"";""106"";""4.919"";""382"""
"2022;""08005303"";""OSPEDALE """"DOSSETTI""""  BAZZANO"";""177"";""1.945"";""478"""
"2022;""08005304"";""OSPEDALE """"A. COSTA"""" PORRETTA TERME (ALTO"";""183"";""2.197"";""435"""
"2022;""08005305"";""OSPEDALE VERGATO"";""52"";""466"";""189"""
"2022;""08005306"";""OSPEDALE """"SIMIANI"""" LOIANO"";""73"";""380"";""246"""
"2022;""08005307"";""OSPEDALE BENTIVOGLIO"";""218"";""5.136"";""624"""
"2022;""08005308"";""OSPEDALE BUDRIO"";""171"";""1.042"";""484"""
"2022;""08005309"";""OSPEDALE """"S.SALVATORE""""  S. GIOVANNI IN P"";""151"";""3.923"";""782"""
"2022;""08006803"";""OSPEDALE DEL DELTA"";""357"";""3.844"";""943"""
"2022;""08006804"";""OSPEDALE """"MAZZOLANI VANDINI"""" ARGENTA"";""149"";""737"";""443"""
"2022;""08006806"";""STABILIMENTO OSPEDALIERO """" SS. ANNUNZIAT"";""286"";""3.383"";""607"""
"2022;""08007200"";""OSPEDALE """"SANTA MARIA DELLE CROCI"""" RAVEN"";""1.260"";""22.833"";""2.663"""
"2022;""08007900"";""OSPEDALE """"UMBERTO 1°"""" LUGO"";""484"";""6.088"";""1.318"""
"2022;""08008200"";""OSPEDALE """"DEGLI INFERMI """" FAENZA"";""568"";""8.036"";""1.373"""
"2022;""08008501"";""OSPEDALE """"MORGAGNI-PIERANTONI"""" FORLI'"";""891"";""19.479"";""2.424"""
"2022;""08008503"";""OSPEDALE """"NEFETTI"""" SANTA SOFIA"";""47"";""204"";""152"""
"2022;""08009101"";""OSPEDALE """"MAURIZIO BUFALINI"""" CESENA"";""781"";""20.510"";""2.228"""
"2022;""08009102"";""OSPEDALE """"GINESIO MARCONI"""" CESENATICO"";""62"";""389"";""176"""
"2022;""08009103"";""OSPEDALE """"PIETRO ANGIOLONI"""" BAGNO DI ROM"";""75"";""306"";""191"""
"2022;""08009501"";""OSPEDALE """"INFERMI"""" RIMINI"";""1.085"";""25.477"";""2.807"""
"2022;""08009502"";""OSPEDALE """"FRANCHINI"""" SANTARCANGELO DI RO"";""138"";""2.327"";""353"""
"2022;""08009503"";""OSPEDALE SACRA FAMIGLIA NOVAFELTRIA"";""129"";""1.499"";""158"""
"2022;""08009600"";""NUOVO OSPEDALE CIVILE DI SASSUOLO S.P.A."";""344"";""15.198"";""984"""
"2022;""08010001"";""OSPEDALE """"CECCARINI"""" RICCIONE"";""332"";""5.960"";""774"""
"2022;""08010002"";""OSPEDALE """"CERVESI"""" CATTOLICA"";""97"";""3.825"";""129"""
"2022;""08015300"";""ISTITUTO DELLE SCIENZE NEUROLOGICHE DI B"";""86"";""4.462"";""1.039"""
"2022;""08020300"";""CASA DI CURA PRIVATA PIACENZA S.P.A."";""181"";""4.321"";""1.079"""
"2022;""08020400"";""CASA DI CURA PRIVATA S. ANTONINO S.R.L."";""158"";""418"";""616"""
"2022;""08020500"";""CASA DI CURA  S.GIACOMO S.R.L."";""7"";""1.115"";""342"""
"2022;""08020600"";""CASA DI CURA CITTA' DI PARMA"";""92"";""8.114"";""774"""
"2022;""08020700"";""HOSPITAL PICCOLE FIGLIE"";""27"";""3.945"";""279"""
"2022;""08020800"";""VILLA MARIA LUIGIA"";""***"";""946"";""1.238"""
"2022;""08020900"";""CASA DI CURA VILLA IGEA"";""***"";""622"";""19"""
"2022;""08021000"";""HOSPITAL VAL PARMA"";""30"";""2.271"";""282"""
"2022;""08021100"";""SALUS HOSPITAL (CASA DI CURA PRIVATA)"";""8"";""2.783"";""581"""
"2022;""08021200"";""CASA DI CURA PRIVATA POLISPECIALISTICA V"";""84"";""2.939"";""170"""
"2022;""08021300"";""HESPERIA HOSPITAL MODENA S.R.L."";""20"";""5.117"";""425"""
"2022;""08021400"";""PROF. FOGLIANI CASA DI CURA S.R.L."";""***"";""1.222"";""292"""
"2022;""08021500"";""OSPEDALE PRIVATO """"VILLA IGEA S.P.A."""""";""***"";""1.518"";""1.098"""
"2022;""08021600"";""OSPEDALE PRIVATO ACCREDITATO VILLA ROSA"";""***"";""365"";""474"""
"2022;""08021800"";""VILLA PINETA S.R.L."";""39"";""1.081"";""172"""
"2022;""08021900"";""OSPEDALE PRIVATO ACCREDITATO VILLA CHIAR"";""97"";""2.490"";""504"""
"2022;""08022000"";""CASA DI CURA PROF. NOBILI S.P.A."";""63"";""2.027"";""209"""
"2022;""08022100"";""CASA DI CURA VILLA ERBOSA OSPEDALE PRIVA"";""96"";""6.304"";""1.398"""
"2022;""08022200"";""OSPEDALE PRIVATO ACCREDITATO NIGRISOLI"";""91"";""3.026"";""621"""
"2022;""08022300"";""OSPEDALE PRIVATO ACCREDITATO VILLA TORRI"";""9"";""1.970"";""29"""
"2022;""08022400"";""OSPEDALE PRIVATO ACCREDITATO CASA DI CUR"";""***"";""89"";""103"""
"2022;""08022500"";""CASA DI CURA MADRE FORTUNATA TONIOLO"";""34"";""3.300"";""40"""
"2022;""08022600"";""OSPEDALE PRIVATO VILLALBA HOSPITAL"";""25"";""369"";""41"""
"2022;""08022700"";""OSPEDALE PRIVATO ACCREDITATO VILLA BARUZ"";""***"";""213"";""222"""
"2022;""08022800"";""OSPEDALE PRIVATO ACCREDITATO VILLA BELLO"";""***"";""626"";""205"""
"2022;""08022900"";""OSPEDALE PRIVATO ACCREDITATO VILLA LAURA"";""133"";""7.694"";""344"""
"2022;""08023100"";""OSPEDALE PRIVATO ACCREDITATO VILLA REGIN"";""***"";""2.472"";""118"""
"2022;""08023500"";""CASA DI CURA QUISISANA S.R.L."";""257"";""868"";""809"""
"2022;""08023600"";""CASA DI CURA SALUS S.R.L."";""248"";""3.583"";""709"""
"2022;""08023700"";""OSPEDALE PRIVATO DOMUS NOVA S.P.A."";""113"";""4.700"";""226"""
"2022;""08023900"";""VILLA MARIA CECILIA HOSPITAL"";""86"";""9.462"";""524"""
"2022;""08024000"";""OSPEDALE PRIVATO """"SAN PIER DAMIANO HOSPI"";""39"";""4.562"";""534"""
"2022;""08024200"";""CASA DI CURA PRIVATA VILLA AZZURRA"";""***"";""153"";""234"""
"2022;""08024300"";""OSPEDALE PRIVATO ACCREDITATO VILLA IGEA"";""7"";""2.453"";""89"""
