"Anno di dimissione;""Codice Istituto"";""Denominazione Istituto"";""Descrizione Sesso"";""Cl_età_0-5"";""Cl_età_06-12"";""Cl_età_13-18"";""Cl_età_19-24"";""Cl_età_25-34"";""Cl_età_35-44"";""Cl_età_45-54"";""Cl_età_55-64"";""Cl_età_65-74"";""Cl_età_over_75"""
"2022;""03028400"";""CENTRO DI RIABIL.VILLA BERETTA-COSTA M"";""Maschio"";""***"";""6"";""10"";""32"";""30"";""59"";""88"";""115"";""121"";""90"""
"2022;""03029400"";""CASA DI CURA  DOMUS SALUTIS - BRESCIA"";""Femmina"";""***"";""***"";""***"";""6"";""10"";""20"";""50"";""108"";""208"";""473"""
"2022;""03029400"";""CASA DI CURA  DOMUS SALUTIS - BRESCIA"";""Maschio"";""***"";""***"";""7"";""10"";""14"";""49"";""138"";""261"";""361"";""404"""
"2022;""03029500"";""FONDAZIONE POLIAMBULANZA - BRESCIA"";""Femmina"";""1.657"";""54"";""159"";""395"";""2.368"";""1.776"";""1.628"";""1.705"";""2.028"";""3.907"""
"2022;""03029500"";""FONDAZIONE POLIAMBULANZA - BRESCIA"";""Maschio"";""1.780"";""62"";""174"";""312"";""472"";""703"";""1.511"";""2.222"";""2.869"";""3.791"""
"2022;""03033700"";""VILLA SANT'APOLLONIA S.R.L. - BERGAMO"";""Femmina"";""***"";""***"";""***"";""41"";""46"";""46"";""50"";""36"";""***"";""***"""
"2022;""03033700"";""VILLA SANT'APOLLONIA S.R.L. - BERGAMO"";""Maschio"";""***"";""***"";""***"";""6"";""20"";""10"";""14"";""13"";""***"";""***"""
"2022;""03034700"";""CASA DI CURA VILLA S. GIUSEPPE-ANZANO DE"";""Femmina"";""***"";""***"";""***"";""***"";""***"";""***"";""9"";""28"";""70"";""258"""
"2022;""03034700"";""CASA DI CURA VILLA S. GIUSEPPE-ANZANO DE"";""Maschio"";""***"";""***"";""***"";""***"";""***"";""***"";""16"";""35"";""43"";""120"""
"2022;""03034800"";""CASA DI CURA VILLA BARBARANO - SALO'"";""Femmina"";""***"";""***"";""***"";""***"";""***"";""***"";""20"";""29"";""80"";""360"""
"2022;""03034800"";""CASA DI CURA VILLA BARBARANO - SALO'"";""Maschio"";""***"";""***"";""***"";""***"";""***"";""***"";""16"";""54"";""99"";""213"""
"2022;""03035000"";""OSPEDALE S.ISIDORO - TRESCORE B."";""Femmina"";""***"";""***"";""***"";""***"";""***"";""***"";""13"";""55"";""121"";""309"""
"2022;""03035000"";""OSPEDALE S.ISIDORO - TRESCORE B."";""Maschio"";""***"";""***"";""***"";""***"";""***"";""12"";""33"";""103"";""143"";""263"""
"2022;""03035200"";""POLO GERIATRICO RIABILITATIVO-CINISELLO"";""Femmina"";""***"";""***"";""***"";""***"";""***"";""***"";""9"";""24"";""84"";""365"""
"2022;""03035200"";""POLO GERIATRICO RIABILITATIVO-CINISELLO"";""Maschio"";""***"";""***"";""***"";""***"";""***"";""***"";""9"";""28"";""52"";""132"""
"2022;""03035300"";""OSPEDALE CIVILE DI VOLTA MANTOVANA"";""Femmina"";""***"";""20"";""24"";""15"";""42"";""80"";""197"";""269"";""320"";""454"""
"2022;""03035300"";""OSPEDALE CIVILE DI VOLTA MANTOVANA"";""Maschio"";""***"";""40"";""45"";""30"";""47"";""116"";""208"";""275"";""285"";""305"""
"2022;""03035400"";""NEPHROCARE S.P.A. - SERIATE"";""Femmina"";""***"";""***"";""***"";""***"";""***"";""***"";""12"";""14"";""22"";""45"""
"2022;""03035400"";""NEPHROCARE S.P.A. - SERIATE"";""Maschio"";""***"";""***"";""***"";""***"";""***"";""***"";""34"";""27"";""56"";""91"""
"2022;""03035500"";""OSPEDALE DI SUZZARA S.P.A."";""Femmina"";""***"";""27"";""70"";""43"";""73"";""139"";""309"";""608"";""721"";""1.011"""
"2022;""03035500"";""OSPEDALE DI SUZZARA S.P.A."";""Maschio"";""***"";""38"";""130"";""146"";""219"";""221"";""492"";""752"";""845"";""706"""
"2022;""03035600"";""ISTITUTO CLINICO HABILITA - CISERANO"";""Femmina"";""***"";""***"";""***"";""***"";""***"";""12"";""22"";""32"";""63"";""72"""
"2022;""03035600"";""ISTITUTO CLINICO HABILITA - CISERANO"";""Maschio"";""***"";""***"";""***"";""7"";""6"";""13"";""46"";""65"";""77"";""63"""
"2022;""03035700"";""OSP. SAN PELLEGRINO - CASTIGLIONE D/S"";""Femmina"";""***"";""***"";""20"";""24"";""57"";""85"";""206"";""305"";""475"";""937"""
"2022;""03035700"";""OSP. SAN PELLEGRINO - CASTIGLIONE D/S"";""Maschio"";""***"";""6"";""55"";""66"";""110"";""196"";""410"";""559"";""672"";""873"""
"2022;""03035900"";""FONDAZIONE EUROPEA DI RICERCA BIOMEDICA"";""Femmina"";""***"";""***"";""***"";""***"";""***"";""***"";""8"";""32"";""72"";""203"""
"2022;""03035900"";""FONDAZIONE EUROPEA DI RICERCA BIOMEDICA"";""Maschio"";""***"";""***"";""***"";""***"";""***"";""***"";""10"";""30"";""81"";""146"""
"2022;""03036000"";""FERB-ONLUS C.TRO ALZHEIMER-GAZZANIGA"";""Femmina"";""***"";""***"";""***"";""***"";""***"";""***"";""***"";""7"";""29"";""188"""
"2022;""03036000"";""FERB-ONLUS C.TRO ALZHEIMER-GAZZANIGA"";""Maschio"";""***"";""***"";""***"";""***"";""***"";""***"";""***"";""10"";""25"";""89"""
"2022;""03036200"";""RESIDENZA ANNI AZZURRI - REZZATO"";""Femmina"";""***"";""***"";""***"";""***"";""***"";""***"";""***"";""***"";""18"";""180"""
"2022;""03036200"";""RESIDENZA ANNI AZZURRI - REZZATO"";""Maschio"";""***"";""***"";""***"";""***"";""***"";""***"";""***"";""7"";""12"";""89"""
"2022;""03036300"";""RESIDENZA ANNI AZZURRI MIRASOLE - OPERA"";""Femmina"";""***"";""***"";""***"";""***"";""***"";""***"";""7"";""18"";""40"";""192"""
"2022;""03036300"";""RESIDENZA ANNI AZZURRI MIRASOLE - OPERA"";""Maschio"";""***"";""***"";""***"";""***"";""***"";""***"";""11"";""17"";""14"";""61"""
"2022;""03036400"";""FOND. GAETANO E PIERA BORGHI - BREBBIA"";""Femmina"";""***"";""***"";""***"";""***"";""***"";""***"";""7"";""36"";""95"";""248"""
"2022;""03036400"";""FOND. GAETANO E PIERA BORGHI - BREBBIA"";""Maschio"";""***"";""***"";""***"";""***"";""***"";""***"";""22"";""34"";""78"";""126"""
"2022;""03036700"";""OSPEDALE S. GIUSEPPE - MILANO"";""Femmina"";""642"";""96"";""97"";""193"";""832"";""940"";""696"";""623"";""600"";""1.311"""
"2022;""03036700"";""OSPEDALE S. GIUSEPPE - MILANO"";""Maschio"";""748"";""131"";""134"";""165"";""264"";""285"";""472"";""719"";""827"";""1.232"""
"2022;""03036800"";""C.TRO RIAB.E.SPALENZA-FOND.DON GNOCCHI"";""Femmina"";""***"";""***"";""***"";""***"";""***"";""***"";""15"";""76"";""139"";""319"""
"2022;""03036800"";""C.TRO RIAB.E.SPALENZA-FOND.DON GNOCCHI"";""Maschio"";""***"";""***"";""***"";""***"";""***"";""19"";""44"";""97"";""157"";""223"""
"2022;""03036900"";""CENTRO MEDICO RICHIEDEI-PALAZZOLO S/O"";""Femmina"";""***"";""***"";""***"";""***"";""***"";""***"";""6"";""7"";""10"";""185"""
"2022;""03036900"";""CENTRO MEDICO RICHIEDEI-PALAZZOLO S/O"";""Maschio"";""***"";""***"";""***"";""***"";""***"";""12"";""36"";""19"";""28"";""127"""
"2022;""03037200"";""SINLAB ITALIA S.R.L. - COMO"";""Femmina"";""***"";""***"";""***"";""***"";""21"";""12"";""27"";""11"";""***"";""***"""
"2022;""03037200"";""SINLAB ITALIA S.R.L. - COMO"";""Maschio"";""***"";""***"";""***"";""***"";""***"";""***"";""***"";""***"";""***"";""***"""
"2022;""03037800"";""CENTRO CLINICO NEMO - FOND. SERENA - MIL"";""Femmina"";""9"";""28"";""23"";""7"";""***"";""9"";""30"";""18"";""32"";""21"""
"2022;""03037800"";""CENTRO CLINICO NEMO - FOND. SERENA - MIL"";""Maschio"";""22"";""59"";""53"";""15"";""14"";""17"";""39"";""37"";""45"";""12"""
"2022;""03037900"";""HABILITA IST.CLINICO-OSP.LE DI SARNICO"";""Femmina"";""***"";""***"";""***"";""***"";""***"";""***"";""14"";""76"";""126"";""474"""
"2022;""03037900"";""HABILITA IST.CLINICO-OSP.LE DI SARNICO"";""Maschio"";""***"";""***"";""***"";""***"";""***"";""11"";""36"";""70"";""135"";""283"""
"2022;""03038100"";""FOND. MB PER IL BAMBINO E LA SUA MAMMA -"";""Femmina"";""1.855"";""307"";""244"";""164"";""1.825"";""1.197"";""31"";""***"";""***"";""***"""
"2022;""03038100"";""FOND. MB PER IL BAMBINO E LA SUA MAMMA -"";""Maschio"";""2.098"";""323"";""314"";""9"";""***"";""***"";""***"";""***"";""***"";""***"""
"2022;""03038200"";""OSPEDALE M. O. ANTONIO LOCATELLI-PIARIO"";""Femmina"";""***"";""***"";""14"";""39"";""104"";""153"";""174"";""209"";""282"";""609"""
"2022;""03038200"";""OSPEDALE M. O. ANTONIO LOCATELLI-PIARIO"";""Maschio"";""***"";""10"";""26"";""46"";""43"";""101"";""149"";""228"";""317"";""468"""
"2022;""03038300"";""NUOVO OSPEDALE DI BRONI E STRADELLA"";""Femmina"";""171"";""***"";""13"";""91"";""325"";""215"";""149"";""148"";""159"";""626"""
"2022;""03038300"";""NUOVO OSPEDALE DI BRONI E STRADELLA"";""Maschio"";""170"";""***"";""7"";""16"";""35"";""55"";""117"";""143"";""207"";""408"""
"2022;""03038400"";""C.R.C. MALATTIE RARE ALDO E CELE DACCO'-"";""Femmina"";""***"";""***"";""***"";""***"";""***"";""18"";""20"";""21"";""22"";""***"""
"2022;""03038400"";""C.R.C. MALATTIE RARE ALDO E CELE DACCO'-"";""Maschio"";""***"";""***"";""***"";""***"";""20"";""23"";""99"";""57"";""56"";""23"""
"2022;""03038800"";""IST. RIV. E CURA-GRUPPO ISENI SANITA'"";""Femmina"";""***"";""***"";""***"";""7"";""14"";""15"";""41"";""54"";""33"";""28"""
"2022;""03038800"";""IST. RIV. E CURA-GRUPPO ISENI SANITA'"";""Maschio"";""***"";""***"";""8"";""12"";""30"";""38"";""60"";""96"";""93"";""71"""
"2022;""03039700"";""CASA DI CURA LE TERRAZZE - CUNARDO"";""Femmina"";""***"";""***"";""***"";""***"";""***"";""***"";""40"";""111"";""217"";""410"""
"2022;""03039700"";""CASA DI CURA LE TERRAZZE - CUNARDO"";""Maschio"";""***"";""***"";""***"";""***"";""***"";""10"";""69"";""130"";""243"";""251"""
"2022;""03040800"";""CENTRO CLINICO NEMO"";""Femmina"";""***"";""***"";""***"";""***"";""10"";""6"";""6"";""11"";""34"";""8"""
"2022;""03040800"";""CENTRO CLINICO NEMO"";""Maschio"";""***"";""***"";""***"";""***"";""7"";""14"";""17"";""31"";""36"";""19"""
"2022;""03041700"";""ISTITUTI CLINICI SCIENTIFICI MAUGERI - L"";""Femmina"";""***"";""***"";""***"";""***"";""***"";""***"";""***"";""20"";""43"";""135"""
"2022;""03041700"";""ISTITUTI CLINICI SCIENTIFICI MAUGERI - L"";""Maschio"";""***"";""***"";""***"";""***"";""***"";""***"";""13"";""17"";""37"";""84"""
"2022;""03090101"";""OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI"";""Femmina"";""***"";""***"";""61"";""247"";""335"";""650"";""1.253"";""1.565"";""1.867"";""3.660"""
"2022;""03090101"";""OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI"";""Maschio"";""6"";""9"";""108"";""352"";""562"";""754"";""1.479"";""2.205"";""2.863"";""4.038"""
"2022;""03090102"";""OSPEDALE F. DEL PONTE - VARESE"";""Femmina"";""1.961"";""349"";""369"";""273"";""2.320"";""2.164"";""708"";""337"";""321"";""174"""
"2022;""03090102"";""OSPEDALE F. DEL PONTE - VARESE"";""Maschio"";""2.411"";""584"";""451"";""14"";""***"";""***"";""***"";""***"";""***"";""***"""
"2022;""03090200"";""OSPEDALE S. ANNA - COMO"";""Femmina"";""1.295"";""154"";""252"";""318"";""1.554"";""1.287"";""746"";""952"";""1.132"";""2.494"""
"2022;""03090200"";""OSPEDALE S. ANNA - COMO"";""Maschio"";""1.383"";""235"";""263"";""226"";""324"";""433"";""826"";""1.340"";""1.725"";""2.661"""
"2022;""03090300"";""OSPEDALE DI CIRCOLO A. MANZONI - LECCO"";""Femmina"";""1.015"";""78"";""178"";""299"";""1.610"";""1.180"";""753"";""914"";""1.279"";""2.791"""
"2022;""03090300"";""OSPEDALE DI CIRCOLO A. MANZONI - LECCO"";""Maschio"";""1.122"";""108"";""175"";""180"";""290"";""384"";""801"";""1.407"";""2.132"";""3.183"""
"2022;""03090400"";""OSPEDALE MORELLI - SONDALO"";""Femmina"";""124"";""11"";""26"";""63"";""279"";""178"";""200"";""276"";""406"";""866"""
"2022;""03090400"";""OSPEDALE MORELLI - SONDALO"";""Maschio"";""133"";""11"";""44"";""70"";""119"";""138"";""247"";""433"";""571"";""815"""
"2022;""03090500"";""OSPEDALE PAPA GIOVANNI XXIII - BG"";""Femmina"";""2.718"";""604"";""511"";""718"";""3.965"";""3.489"";""1.734"";""2.042"";""2.317"";""2.659"""
"2022;""03090500"";""OSPEDALE PAPA GIOVANNI XXIII - BG"";""Maschio"";""3.358"";""947"";""881"";""516"";""722"";""815"";""1.683"";""3.016"";""3.813"";""3.578"""
"2022;""03090600"";""PRES.OSPEDAL.SPEDALI CIVILI BRESCIA"";""Femmina"";""16"";""20"";""305"";""847"";""3.444"";""3.044"";""2.289"";""2.573"";""3.124"";""4.621"""
"2022;""03090600"";""PRES.OSPEDAL.SPEDALI CIVILI BRESCIA"";""Maschio"";""18"";""13"";""334"";""544"";""918"";""1.261"";""2.387"";""3.956"";""4.913"";""5.900"""
"2022;""03090700"";""OSPEDALE C. POMA - MANTOVA"";""Femmina"";""1.035"";""146"";""160"";""341"";""1.715"";""1.746"";""809"";""986"";""1.359"";""2.776"""
"2022;""03090700"";""OSPEDALE C. POMA - MANTOVA"";""Maschio"";""1.160"";""225"";""193"";""114"";""232"";""356"";""805"";""1.397"";""2.139"";""3.066"""
"2022;""03090800"";""OSPEDALE DI CREMONA"";""Femmina"";""709"";""66"";""126"";""265"";""1.071"";""845"";""766"";""981"";""1.208"";""2.823"""
"2022;""03090800"";""OSPEDALE DI CREMONA"";""Maschio"";""820"";""110"";""171"";""158"";""284"";""442"";""822"";""1.359"";""1.795"";""2.506"""
"2022;""03090900"";""OSPEDALE S.GERARDO - MONZA"";""Femmina"";""69"";""180"";""946"";""280"";""513"";""790"";""1.278"";""1.527"";""1.956"";""3.165"""
"2022;""03090900"";""OSPEDALE S.GERARDO - MONZA"";""Maschio"";""135"";""166"";""335"";""383"";""504"";""602"";""1.335"";""1.887"";""2.544"";""3.739"""
"2022;""03091000"";""OSPEDALE FATEBENEFRATELLI E OFTALMICO -"";""Femmina"";""171"";""74"";""170"";""105"";""156"";""253"";""350"";""457"";""437"";""1.169"""
"2022;""03091000"";""OSPEDALE FATEBENEFRATELLI E OFTALMICO -"";""Maschio"";""263"";""162"";""152"";""161"";""241"";""333"";""533"";""747"";""816"";""1.187"""
"2022;""03091100"";""ISTITUTO ORTOPEDICO GAETANO PINI - MILAN"";""Femmina"";""47"";""229"";""264"";""143"";""203"";""253"";""417"";""738"";""936"";""1.888"""
"2022;""03091100"";""ISTITUTO ORTOPEDICO GAETANO PINI - MILAN"";""Maschio"";""34"";""233"";""494"";""250"";""418"";""391"";""546"";""583"";""538"";""585"""
"2022;""03091200"";""P.O. CENTRO TRAUMATOLOGICO ORTOPEDICO -"";""Femmina"";""***"";""***"";""14"";""34"";""75"";""67"";""189"";""361"";""402"";""613"""
"2022;""03091200"";""P.O. CENTRO TRAUMATOLOGICO ORTOPEDICO -"";""Maschio"";""***"";""***"";""54"";""121"";""162"";""180"";""277"";""331"";""324"";""290"""
"2022;""03091300"";""OSPEDALE CA' GRANDA-NIGUARDA - MILANO"";""Femmina"";""1.769"";""425"";""536"";""744"";""2.651"";""3.041"";""2.248"";""2.529"";""2.548"";""3.265"""
"2022;""03091300"";""OSPEDALE CA' GRANDA-NIGUARDA - MILANO"";""Maschio"";""2.084"";""633"";""640"";""628"";""1.121"";""1.324"";""2.353"";""3.493"";""3.871"";""4.048"""
"2022;""03091400"";""OSPEDALE S. PAOLO - MILANO"";""Femmina"";""809"";""167"";""416"";""555"";""1.490"";""1.528"";""814"";""956"";""1.179"";""2.358"""
"2022;""03091400"";""OSPEDALE S. PAOLO - MILANO"";""Maschio"";""943"";""212"";""300"";""301"";""468"";""530"";""983"";""1.351"";""1.602"";""2.482"""
"2022;""03091500"";""OSPEDALE S. CARLO BORROMEO - MILANO"";""Femmina"";""523"";""92"";""131"";""358"";""802"";""698"";""621"";""708"";""897"";""2.219"""
"2022;""03091500"";""OSPEDALE S. CARLO BORROMEO - MILANO"";""Maschio"";""597"";""108"";""127"";""154"";""303"";""376"";""703"";""1.035"";""1.311"";""2.287"""
"2022;""03091600"";""OSPEDALE L. SACCO - MILANO"";""Femmina"";""403"";""42"";""67"";""292"";""1.038"";""1.133"";""702"";""827"";""896"";""2.304"""
"2022;""03091600"";""OSPEDALE L. SACCO - MILANO"";""Maschio"";""421"";""51"";""57"";""166"";""306"";""436"";""770"";""1.143"";""1.399"";""2.249"""
"2022;""03092000"";""I.N.R.C.A.- PRESIDIO DI CASATENOVO"";""Femmina"";""***"";""***"";""***"";""***"";""***"";""7"";""33"";""86"";""127"";""192"""
"2022;""03092000"";""I.N.R.C.A.- PRESIDIO DI CASATENOVO"";""Maschio"";""***"";""***"";""***"";""***"";""***"";""20"";""53"";""98"";""247"";""308"""
"2022;""03092200"";""FOND.IRCCS """"ISTIT.NAZ.LE TUMORI""""MILANO"";""Femmina"";""163"";""163"";""323"";""150"";""430"";""820"";""1.805"";""2.055"";""1.628"";""1.264"""
"2022;""03092200"";""FOND.IRCCS """"ISTIT.NAZ.LE TUMORI""""MILANO"";""Maschio"";""279"";""262"";""247"";""213"";""373"";""492"";""945"";""1.435"";""1.982"";""1.673"""
"2022;""03092300"";""FOND.IRCCS IST.NAZ.NEUROLOGICO C.BESTA-M"";""Femmina"";""123"";""140"";""131"";""68"";""171"";""256"";""415"";""544"";""409"";""188"""
"2022;""03092300"";""FOND.IRCCS IST.NAZ.NEUROLOGICO C.BESTA-M"";""Maschio"";""248"";""213"";""112"";""78"";""173"";""214"";""418"";""463"";""452"";""260"""
"2022;""03092400"";""POLICLINICO S. MATTEO - PAVIA"";""Femmina"";""1.781"";""437"";""411"";""482"";""2.167"";""2.106"";""1.490"";""1.831"";""2.043"";""3.336"""
"2022;""03092400"";""POLICLINICO S. MATTEO - PAVIA"";""Maschio"";""2.137"";""663"";""538"";""331"";""547"";""700"";""1.446"";""2.261"";""2.842"";""3.347"""
"2022;""03092500"";""FONDAZ.IRCCS CA' GRANDA - OSPEDALE MAGGI"";""Femmina"";""4.010"";""497"";""587"";""867"";""5.297"";""6.629"";""1.817"";""1.636"";""1.683"";""2.640"""
"2022;""03092500"";""FONDAZ.IRCCS CA' GRANDA - OSPEDALE MAGGI"";""Maschio"";""4.703"";""712"";""520"";""441"";""612"";""730"";""1.174"";""1.911"";""2.131"";""2.842"""
"2022;""03093000"";""IRCCS CENTRO MEDICO TRADATE"";""Femmina"";""***"";""***"";""***"";""***"";""***"";""9"";""35"";""95"";""224"";""307"""
"2022;""03093000"";""IRCCS CENTRO MEDICO TRADATE"";""Maschio"";""***"";""***"";""***"";""***"";""***"";""13"";""63"";""187"";""286"";""311"""
"2022;""03093100"";""ISTITUTO SCIENTIFICO MEDEA-BOSISIO P."";""Femmina"";""212"";""195"";""124"";""41"";""46"";""22"";""16"";""16"";""8"";""***"""
"2022;""03093100"";""ISTITUTO SCIENTIFICO MEDEA-BOSISIO P."";""Maschio"";""428"";""346"";""208"";""63"";""57"";""30"";""25"";""9"";""6"";""***"""
"2022;""03093200"";""IRCCS CENTRO MEDICO DI LUMEZZANE"";""Femmina"";""***"";""***"";""***"";""***"";""***"";""***"";""19"";""49"";""111"";""334"""
"2022;""03093200"";""IRCCS CENTRO MEDICO DI LUMEZZANE"";""Maschio"";""***"";""***"";""***"";""***"";""***"";""7"";""30"";""74"";""139"";""215"""
"2022;""03093300"";""IRCCS CENTRO MEDICO DI CASTEL GOFFREDO"";""Femmina"";""***"";""***"";""***"";""***"";""***"";""***"";""12"";""24"";""62"";""286"""
"2022;""03093300"";""IRCCS CENTRO MEDICO DI CASTEL GOFFREDO"";""Maschio"";""***"";""***"";""***"";""***"";""***"";""***"";""11"";""34"";""44"";""106"""
"2022;""03093400"";""CENTRO CARDIOLOGICO """"FOND. MONZINO"""" - MI"";""Femmina"";""***"";""***"";""12"";""31"";""62"";""94"";""220"";""389"";""687"";""1.090"""
"2022;""03093400"";""CENTRO CARDIOLOGICO """"FOND. MONZINO"""" - MI"";""Maschio"";""***"";""***"";""19"";""51"";""74"";""160"";""573"";""1.405"";""1.877"";""1.967"""
"2022;""03093500"";""IRCCS    S. RAFFAELE - MILANO"";""Femmina"";""1.503"";""576"";""467"";""441"";""2.734"";""4.649"";""2.856"";""3.054"";""3.240"";""3.893"""
"2022;""03093500"";""IRCCS    S. RAFFAELE - MILANO"";""Maschio"";""1.847"";""508"";""636"";""497"";""837"";""1.181"";""2.590"";""4.503"";""5.677"";""5.096"""
"2022;""03093601"";""IST.AUXOLOGICO ITALIANO-I.S. S.LUCA-MILA"";""Femmina"";""***"";""***"";""8"";""10"";""33"";""78"";""146"";""288"";""445"";""937"""
"2022;""03093601"";""IST.AUXOLOGICO ITALIANO-I.S. S.LUCA-MILA"";""Maschio"";""***"";""***"";""25"";""19"";""29"";""79"";""220"";""507"";""632"";""946"""
"2022;""03093602"";""IST.AUXOLOGICO ITAL.-I.S. S.MICHELE-MILA"";""Femmina"";""***"";""16"";""23"";""***"";""6"";""***"";""***"";""***"";""***"";""***"""
"2022;""03093602"";""IST.AUXOLOGICO ITAL.-I.S. S.MICHELE-MILA"";""Maschio"";""10"";""25"";""25"";""11"";""***"";""***"";""***"";""***"";""***"";""***"""
"2022;""03093603"";""IRCCS OSPEDALE CAPITANIO"";""Femmina"";""***"";""15"";""28"";""48"";""115"";""210"";""439"";""549"";""600"";""718"""
"2022;""03093603"";""IRCCS OSPEDALE CAPITANIO"";""Maschio"";""***"";""23"";""70"";""121"";""166"";""197"";""423"";""719"";""788"";""670"""
"2022;""03093700"";""IRCCS S.M.NASCENTE-FOND.DON C.GNOCCHI-MI"";""Femmina"";""***"";""***"";""***"";""7"";""6"";""23"";""47"";""96"";""134"";""241"""
"2022;""03093700"";""IRCCS S.M.NASCENTE-FOND.DON C.GNOCCHI-MI"";""Maschio"";""***"";""***"";""6"";""8"";""23"";""35"";""97"";""164"";""177"";""194"""
"2022;""03093800"";""IRCCS CENTRO MEDICO DI PAVIA"";""Femmina"";""***"";""***"";""14"";""52"";""107"";""273"";""568"";""670"";""767"";""1.028"""
"2022;""03093800"";""IRCCS CENTRO MEDICO DI PAVIA"";""Maschio"";""***"";""***"";""20"";""37"";""89"";""144"";""369"";""716"";""1.018"";""948"""
"2022;""03093900"";""FOND.IST.NEUROL.C.MONDINO-PAVIA"";""Femmina"";""103"";""115"";""172"";""47"";""78"";""122"";""221"";""296"";""292"";""383"""
"2022;""03093900"";""FOND.IST.NEUROL.C.MONDINO-PAVIA"";""Maschio"";""163"";""181"";""97"";""17"";""43"";""74"";""155"";""263"";""401"";""364"""
"2022;""03094000"";""IRCCS CENTRO MEDICO MONTESCANO"";""Femmina"";""***"";""***"";""***"";""***"";""***"";""8"";""34"";""104"";""173"";""341"""
"2022;""03094000"";""IRCCS CENTRO MEDICO MONTESCANO"";""Maschio"";""***"";""***"";""***"";""***"";""7"";""32"";""76"";""205"";""265"";""307"""
"2022;""03094100"";""ISTITUTO EUROPEO DI ONCOLOGIA-MILANO"";""Femmina"";""***"";""***"";""24"";""80"";""481"";""1.560"";""3.028"";""2.986"";""2.185"";""1.135"""
"2022;""03094100"";""ISTITUTO EUROPEO DI ONCOLOGIA-MILANO"";""Maschio"";""***"";""***"";""***"";""37"";""128"";""254"";""612"";""1.265"";""1.701"";""1.066"""
"2022;""03094200"";""IRCCS S.GIOVANNI DI DIO-FBF- BRESCIA"";""Femmina"";""***"";""***"";""***"";""19"";""12"";""16"";""33"";""32"";""38"";""153"""
"2022;""03094200"";""IRCCS S.GIOVANNI DI DIO-FBF- BRESCIA"";""Maschio"";""***"";""***"";""***"";""8"";""22"";""23"";""26"";""33"";""26"";""82"""
"2022;""03094300"";""IST. CLIN. HUMANITAS - ROZZANO"";""Femmina"";""***"";""30"";""197"";""463"";""2.760"";""6.136"";""3.143"";""3.707"";""3.718"";""4.431"""
"2022;""03094300"";""IST. CLIN. HUMANITAS - ROZZANO"";""Maschio"";""***"";""50"";""386"";""641"";""1.167"";""1.546"";""2.804"";""4.202"";""4.985"";""5.050"""
"2022;""03094601"";""IRCCS OSPEDALE GALEAZZI SANT'AMBROGIO"";""Femmina"";""12"";""171"";""244"";""181"";""299"";""424"";""975"";""1.689"";""2.032"";""2.261"""
"2022;""03094601"";""IRCCS OSPEDALE GALEAZZI SANT'AMBROGIO"";""Maschio"";""9"";""224"";""419"";""361"";""508"";""568"";""1.071"";""1.499"";""1.538"";""1.262"""
"2022;""03094602"";""IST.CLINICO S.SIRO SPA-MILANO"";""Femmina"";""***"";""20"";""37"";""32"";""28"";""46"";""220"";""521"";""958"";""1.144"""
"2022;""03094602"";""IST.CLINICO S.SIRO SPA-MILANO"";""Maschio"";""***"";""33"";""58"";""41"";""57"";""81"";""297"";""555"";""487"";""361"""
"2022;""03094700"";""I.R.C.C.S. POLICLINICO SAN DONATO"";""Femmina"";""156"";""94"";""130"";""153"";""296"";""403"";""728"";""945"";""1.128"";""1.953"""
"2022;""03094700"";""I.R.C.C.S. POLICLINICO SAN DONATO"";""Maschio"";""173"";""127"";""223"";""239"";""461"";""553"";""1.039"";""1.669"";""1.862"";""2.284"""
"2022;""03094800"";""IRCCS MULTIMEDICA - MILANO"";""Femmina"";""***"";""***"";""27"";""72"";""135"";""239"";""477"";""585"";""569"";""1.250"""
"2022;""03094800"";""IRCCS MULTIMEDICA - MILANO"";""Maschio"";""***"";""***"";""74"";""112"";""207"";""247"";""538"";""733"";""907"";""1.395"""
"2022;""03094900"";""IRCCS IST. SCIENTIFICO DI RIABILITAZIONE"";""Femmina"";""***"";""***"";""***"";""***"";""***"";""8"";""33"";""57"";""111"";""239"""
"2022;""03094900"";""IRCCS IST. SCIENTIFICO DI RIABILITAZIONE"";""Maschio"";""***"";""***"";""***"";""***"";""***"";""13"";""45"";""87"";""140"";""202"""
"2022;""03095000"";""SAN RAFFAELE TURRO"";""Femmina"";""***"";""***"";""58"";""136"";""126"";""120"";""263"";""288"";""213"";""198"""
"2022;""03095000"";""SAN RAFFAELE TURRO"";""Maschio"";""***"";""***"";""32"";""122"";""151"";""114"";""225"";""244"";""176"";""177"""
"2022;""04100100"";""OSPEDALE CENTRALE DI BOLZANO"";""Femmina"";""1.199"";""279"";""291"";""480"";""1.778"";""1.355"";""1.208"";""1.410"";""1.598"";""3.800"""
"2022;""04100100"";""OSPEDALE CENTRALE DI BOLZANO"";""Maschio"";""1.452"";""412"";""347"";""293"";""570"";""632"";""1.219"";""2.267"";""2.659"";""4.161"""
"2022;""04100100"";""OSPEDALE CENTRALE DI BOLZANO"";""Non Definito"";""***"";""***"";""***"";""***"";""***"";""***"";""***"";""***"";""***"";""***"""
