orpha_code,name,expert_link,disorder_type,disorder_group,prevalence_class,prevalence_geo,prevalence_value,inheritance,age_of_onset,average_age_onset,average_age_death,complexity_score,complexity_level
2180,Idrocefalo - displasia costovertebrale - anomalia di Sprengel,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2180,Sindrome malformativa,Malattia,,Mondiale,,,,,,0,Bassa
2186,"Sindrome idrocefalo, sclere blu e nefropatia",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2186,Sindrome malformativa,Malattia,,Mondiale,,,,,,0,Bassa
251671,Glioma angiocentrico,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=251671,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
2189,Idroletale,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2189,Sindrome malformativa,Malattia,1-9 / 100 000,Finland,,,,,,3,Media
251674,Glioma cordoide,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=251674,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
251679,Astroblastoma,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=251679,Malattia,Malattia,<1 / 1 000 000,Europa,,,,,,5,Alta
312,Ittiosi epidermolitica autosomica dominante,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=312,Malattia,Malattia,1-9 / 1 000 000,Japan,,,,,,4,Media
2196,Ipomagnesemia primitiva familiare con ipercalciuria e nefrocalcinosi con coinvolgimento oculare grave,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2196,Sottotipo clinico,Sottotipo della malattia,,Mondiale,,,,,,0,Bassa
251852,Tumore embrionale del tessuto neuroepiteliale,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=251852,Categoria,Gruppo di malattie,1-9 / 1 000 000,Europa,,,,,,4,Media
251576,Gliosarcoma,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=251576,Sottotipo istopatologico,Sottotipo della malattia,<1 / 1 000 000,Europa,,,,,,5,Alta
2150,Brachidattialia di Hirschsprung,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2150,Sindrome malformativa,Malattia,,Mondiale,,,,,,0,Bassa
251582,Gliomatosi cerebrale,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=251582,Malattia,Malattia,<1 / 1 000 000,Europa,,,,,,5,Alta
251579,Gliobastoma a cellule giganti,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=251579,Sottotipo istopatologico,Sottotipo della malattia,<1 / 1 000 000,Europa,,,,,,5,Alta
2152,Sindrome di Mowat-Wilson,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2152,Sindrome malformativa,Malattia,Sconosciuto,Mondiale,,,,,,0,Bassa
2153,Malattia di Hirschsprung - ipoplasia ungueale - dismorfismi,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2153,Sindrome malformativa,Malattia,,Mondiale,,,,,,0,Bassa
251589,Astrocitoma anaplastico,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=251589,Malattia,Malattia,1-9 / 1 000 000,United States,,,,,,4,Media
251598,Astrocitoma protoplasmatico,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=251598,Sottotipo istopatologico,Sottotipo della malattia,<1 / 1 000 000,Europa,,,,,,5,Alta
2155,Malattia di Hirschsprung -  sordità - polidattilia,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2155,Sindrome malformativa,Malattia,,Mondiale,,,,,,0,Bassa
251595,Astrocitoma diffuso,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=251595,Malattia,Malattia,1-9 / 1 000 000,United States,,,,,,4,Media
2158,Istidinuria renale,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2158,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
251612,Astrocitoma pilocitico,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=251612,Malattia,Malattia,1-9 / 1 000 000,United States,,,,,,4,Media
2163,Oloprosencefalia - craniosinostosi,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2163,Sindrome malformativa,Malattia,,Mondiale,,,,,,0,Bassa
251607,Xantoastrocitoma pleomorfo,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=251607,Malattia,Malattia,<1 / 1 000 000,Europa,,,,,,5,Alta
2165,Sindrome da oloprosencefalia e disgenesia caudale,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2165,Sindrome malformativa,Malattia,1-9 / 1 000 000,Spain,,,,,,4,Media
2166,Oloprosencefalia - polidattilia postassiale,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2166,Sindrome malformativa,Malattia,Sconosciuto,Mondiale,,,,,,0,Bassa
251627,Oligodendroglioma,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=251627,Malattia,Malattia,1-9 / 1 000 000,Europa,,,,,,4,Media
2167,Sindrome di Holzgreve,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2167,Sindrome malformativa,Malattia,,Mondiale,,,,,,0,Bassa
251623,Pituicitoma,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=251623,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
2169,"Deficit di metilcobalamina, tipo cblE",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2169,Sottotipo clinico,Sottotipo della malattia,,Mondiale,,,,,,0,Bassa
2222,Ipertricosi lanuginosa congenita,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2222,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
2220,Ipertricosi dei gomiti,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2220,Sindrome malformativa,Malattia,,Mondiale,,,,,,0,Bassa
1051,Sindrome di Ramos-Arroyo,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=1051,Sindrome malformativa,Malattia,,Mondiale,,,,,,0,Bassa
2228,Ipodonzia - displasia ungueale,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2228,Sindrome malformativa,Malattia,Sconosciuto,Mondiale,,,,,,0,Bassa
2224,Ipertriptofanemia,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2224,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
251937,Gangliocitoma,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=251937,Malattia,Malattia,<1 / 1 000 000,Mondiale,,,,,,5,Alta
2232,Ipogonadismo primitivo - alopecia parziale,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2232,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
2230,Ipogonadismo ipogonadotropo - alopecia frontoparietale,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2230,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
2229,Cardiomiopatia dilatativa - ipogonadismo ipergonadotropo,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2229,Sindrome malformativa,Malattia,,Mondiale,,,,,,0,Bassa
2238,Ipoparatiroidismo familiare isolato,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2238,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
2237,Ipoparatiroidismo - sordità - malattia renale,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2237,Sindrome malformativa,Malattia,<1 / 1 000 000,Mondiale,,,,,,5,Alta
2235,Ipogonadismo ipogonadotropo - retinite pigmentosa,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2235,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
2234,Ipogonadismo ipergonadotropo maschile - ritardo mentale - anomalie scheletriche,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2234,Sindrome malformativa,Malattia,,Mondiale,,,,,,0,Bassa
2199,Cheratoderma palmoplantare epidermolitico,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2199,Malattia,Malattia,1-9 / 100 000,Ireland,,,,,,3,Media
251863,Medulloblastoma desmoplastico/nodulare,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=251863,Sottotipo istopatologico,Sottotipo della malattia,<1 / 1 000 000,Europa,,,,,,5,Alta
2200,Cheratoderma focale palmoplantare e gengivale,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2200,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
2198,Sindrome cheratoderma palmoplantare-carcinoma dell'esofago,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2198,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
495,Cheratoderma palmoplantare transgrediens e progrediens,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=495,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
2206,Iperostosi vertebrale anchilosante con tilosi,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2206,Sindrome malformativa,Malattia,,Mondiale,,,,,,0,Bassa
2201,Sindrome da cheratoderma palmoplantare e paralisi spastica,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2201,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
251877,Ganglioneuroblastoma,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=251877,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
2202,Sindrome cheratoderma palmoplantare-sordità,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2202,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
251870,Tumore neuroectodermico primitivo del sistema nervoso centrale,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=251870,Gruppo di fenomi,Gruppo di malattie,<1 / 1 000 000,Europa,,,,,,5,Alta
251899,Carcinoma del plesso corioideo,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=251899,Malattia,Malattia,<1 / 1 000 000,Europa,,,,,,5,Alta
2213,Ipertelorismo - microtia - schisi facciale,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2213,Sindrome malformativa,Malattia,,Mondiale,,,,,,0,Bassa
251896,Tumore del plesso corioideo,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=251896,Gruppo di fenomi,Gruppo di malattie,<1 / 1 000 000,United States,,,,,,5,Alta
2211,Sindrome ipertelorismo-ipospadia-polisindattilia,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2211,Sindrome malformativa,Malattia,,Mondiale,,,,,,0,Bassa
2218,Ipertricosi cervicale - neuropatia periferica,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2218,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
251909,Pineoblastoma,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=251909,Malattia,Malattia,<1 / 1 000 000,Europa,,,,,,5,Alta
2215,Ipertermia maligna - artrogriposi - torcicollo,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2215,Sindrome malformativa,Malattia,,Mondiale,,,,,,0,Bassa
2216,Difetti congeniti indotti dall'ipertermia materna,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2216,Sindrome malformativa,Malattia,Sconosciuto,Mondiale,,,,,,0,Bassa
251019,Sindrome da microdelezione 2q32q33,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=251019,Sindrome malformativa,Malattia,,Mondiale,,,,,,0,Bassa
2266,Ipotricosi-disabilità intellettiva tipo Lopes,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2266,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
251028,Sindrome da microdelezione 2q33.1,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=251028,Sottotipo eziologico,Sottotipo della malattia,,Mondiale,,,,,,0,Bassa
2269,Ittiosi - alopecia - ectropion - ritardo mentale,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2269,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
251038,Microduplicazione 3q29,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=251038,Sindrome malformativa,Malattia,Sconosciuto,Mondiale,,,,,,0,Bassa
250999,Sindrome da microdelezione 1q41q42,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=250999,Sindrome malformativa,Malattia,Sconosciuto,Mondiale,,,,,,0,Bassa
2261,"Ipospadia - ritardo mentale, tipo Goldblatt",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2261,Sindrome malformativa,Malattia,,Mondiale,,,,,,0,Bassa
251004,Disomia uniparentale paterna del cromosoma 1,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=251004,Sindrome malformativa,Malattia,Sconosciuto,Mondiale,,,,,,0,Bassa
251009,Disomia uniparentale materna del cromosoma 1,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=251009,Sindrome malformativa,Malattia,Sconosciuto,Mondiale,,,,,,0,Bassa
672,Sindrome di Pallister-Hall,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=672,Sindrome malformativa,Malattia,,Mondiale,,,,,,0,Bassa
251014,Sindrome da microdelezione 2q31.1,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=251014,Sindrome malformativa,Malattia,Sconosciuto,Mondiale,,,,,,0,Bassa
455,Ittiosi epidermolitica superficiale,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=455,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
251061,Sindrome da microdelezione 7q31,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=251061,Sindrome malformativa,Malattia,,Mondiale,,,,,,0,Bassa
251066,Sindrome da delezione 8p11.2,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=251066,Sindrome malformativa,Malattia,,Mondiale,,,,,,0,Bassa
2272,Ittiosi - anomalie orali e digitali,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2272,Sindrome malformativa,Malattia,,Mondiale,,,,,,0,Bassa
251071,Sindrome da microdelezione 8p23.1,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=251071,Sindrome malformativa,Malattia,Sconosciuto,Mondiale,,,,,,0,Bassa
2274,Ittiosi - epatosplenomegalia - degenerazione cerebellare,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2274,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
251076,Sindrome da duplicazione 8p23.1,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=251076,Sindrome malformativa,Malattia,1-9 / 100 000,Mondiale,,,,,,3,Media
2273,Ittiosi follicolare - alopecia - fotofobia,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2273,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
251043,Cromosoma 5 ad anello,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=251043,Sindrome malformativa,Malattia,Sconosciuto,Mondiale,,,,,,0,Bassa
165,Lipidosi con sovraccarico di trigliceridi,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=165,Gruppo di fenomi,Gruppo di malattie,<1 / 1 000 000,Mondiale,,,,,,5,Alta
139,Sindrome CHILD,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=139,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
251046,Sindrome da microdelezione 6p22,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=251046,Sindrome malformativa,Malattia,,Mondiale,,,,,,0,Bassa
457,Ittiosi Arlecchino,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=457,Malattia,Malattia,Sconosciuto,Mondiale,,,,,,0,Bassa
2271,Ittiosi congenita - microcefalo - tetraplegia,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2271,Malattia,Malattia,<1 / 1 000 000,Mondiale,,,,,,5,Alta
251056,Sindrome microdelezione 6q25.2q25.3,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=251056,Sindrome malformativa,Malattia,,Mondiale,,,,,,0,Bassa
2246,Sindrome da ipoplasia cerebellare e degenerazione tapeto-retinica,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2246,Sindrome malformativa,Malattia,,Mondiale,,,,,,0,Bassa
2249,Ipoplasia cubitale - ritardo mentale,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2249,Sindrome malformativa,Malattia,,Mondiale,,,,,,0,Bassa
2239,Ipoparatiroidismo isolato familiare da agenesia delle ghiandole paratiroidee,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2239,Sottotipo clinico,Sottotipo della malattia,,Mondiale,,,,,,0,Bassa
2241,Sindrome megacisti-microcolon-ipoperistalsi intestinale,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2241,Sindrome malformativa,Malattia,,Mondiale,,,,,,0,Bassa
250984,Sindrome di Stickler autosomica recessiva,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=250984,Sottotipo clinico,Sottotipo della malattia,,Mondiale,,,,,,0,Bassa
2256,Ipoplasia peronale e cubitale - anomalie renali,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2256,Sindrome malformativa,Malattia,,Mondiale,,,,,,0,Bassa
2257,Ipoplasia polmonare primitiva,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2257,Anomalia morfologica,Malattia,Sconosciuto,Mondiale,,,,,,0,Bassa
250977,AICA-ribosiduria,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=250977,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
250994,Sindrome da microduplicazione 1q21.1,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=250994,Sindrome malformativa,Malattia,,Mondiale,,,,,,0,Bassa
250989,Sindrome da microdelezione 1q21.1,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=250989,Sindrome malformativa,Malattia,Sconosciuto,Mondiale,,,,,,0,Bassa
2250,Iposmia - ipoplasia oculare e nasale - ipogonadismo ipogonadotropo,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2250,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
250923,Aniridia isolata,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=250923,Anomalia morfologica,Malattia,1-9 / 100 000,Europa,,,,,,3,Media
2251,"Sindrome da deformità del pollice, alopecia ed anomalie della pigmentazione",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2251,Sindrome malformativa,Malattia,,Mondiale,,,,,,0,Bassa
2252,Ipoplasia radiale - pollici trifalangei - ipospadia - diastema mascellare,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2252,Sindrome malformativa,Malattia,,Mondiale,,,,,,0,Bassa
250972,Polimicrogiria con ipoplasia del nervo ottico,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=250972,Sindrome malformativa,Malattia,,Mondiale,,,,,,0,Bassa
2255,Ipoplasia pancreatica - diabete - cardiopatia congenita,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2255,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
251380,Sindrome persistenza ereditaria dell'emoglobina fetale-anemia a cellule falciformi,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=251380,Malattia,Malattia,1-5 / 10 000,United States,,,,,,2,Bassa
2306,Sindrome isotretinoina-simile,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2306,Sindrome malformativa,Malattia,,Mondiale,,,,,,0,Bassa
251383,Sindrome CK,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=251383,Sindrome malformativa,Malattia,,Mondiale,,,,,,0,Bassa
2305,Sindrome da isotretinoina,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2305,Sindrome malformativa,Malattia,Sconosciuto,Mondiale,,,,,,0,Bassa
251370,Sindrome anemia a cellule falciformi-emoglobinopatia D,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=251370,Sottotipo clinico,Sottotipo della malattia,Sconosciuto,Mondiale,,,,,,0,Bassa
251375,Associazione falcemia e emoglobinopatia E,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=251375,Sottotipo clinico,Sottotipo della malattia,Sconosciuto,Mondiale,,,,,,0,Bassa
251359,Drepanocitosi - beta talassemia,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=251359,Malattia,Malattia,Sconosciuto,Mondiale,,,,,,0,Bassa
251365,Drepanocitosi e emoglobinopatia C,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=251365,Malattia,Malattia,Sconosciuto,Mondiale,,,,,,0,Bassa
2295,Sindrome familiare da ipermobilità articolare,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2295,Malattia,Malattia,Sconosciuto,Mondiale,,,,,,0,Bassa
2319,Sindrome di Juberg-Hayward,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2319,Sindrome malformativa,Malattia,,Mondiale,,,,,,0,Bassa
251523,Iperzinchemia e ipercalprotectinemia,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=251523,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
2316,Sindrome neuroectodermica di Johnson,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2316,Sindrome malformativa,Malattia,<1 / 1 000 000,Mondiale,,,,,,5,Alta
2315,Sindrome di Johanson-Blizzard,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2315,Sindrome malformativa,Malattia,1-9 / 1 000 000,Europa,,,,,,4,Media
251510,"Disgenesia gonadica parziale 46,XY",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=251510,Sindrome malformativa,Malattia,Sconosciuto,Mondiale,,,,,,0,Bassa
251515,Artrogriposi distale tipo 10,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=251515,Sindrome malformativa,Malattia,,Mondiale,,,,,,0,Bassa
2310,Ipoplasia della gamba - cataratta,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2310,Sindrome malformativa,Malattia,,Mondiale,,,,,,0,Bassa
2309,Pachionichia congenita,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2309,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
251393,Epidermolisi bollosa giunzionale localizzata,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=251393,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
2307,Sindrome IVIC,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2307,Sindrome malformativa,Malattia,,Mondiale,,,,,,0,Bassa
251295,Atrofia retinocoroidea paravenosa pigmentata,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=251295,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
251290,"Foramina parietalia, con ipoplasia della clavicola",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=251290,Sindrome malformativa,Malattia,,Mondiale,,,,,,0,Bassa
2282,Dismorfismi - bassa statura - sordità - pseudoermafroditismo,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2282,Sindrome malformativa,Malattia,,Mondiale,,,,,,0,Bassa
251287,Distrofia maculare anulare concentrica benigna,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=251287,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
251282,Atassia spastica autosomica dominante tipo 1,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=251282,Malattia,Malattia,<1 / 1 000 000,Mondiale,,,,,,5,Alta
251279,"Associazione  microftalmia, retinite pigmentosa, schisi della fovea e drusen del disco ottico",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=251279,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
251274,"Iperaldosteronismo familiare, tipo III",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=251274,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
2278,Ittiosi - ritardo mentale - nanismo - anomalie renali,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2278,Sindrome malformativa,Malattia,,Mondiale,,,,,,0,Bassa
251262,Osteocondrite dissecante familiare,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=251262,Malattia,Malattia,Sconosciuto,Mondiale,,,,,,0,Bassa
2291,Insufficenza velofaringea congenita,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2291,Anomalia morfologica,Malattia,,Mondiale,,,,,,0,Bassa
251347,Malattia simil-atassia-telangectasia,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=251347,Malattia,Malattia,Sconosciuto,Mondiale,,,,,,0,Bassa
2289,Malattia da inclusioni intranucleari neuronali,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2289,Malattia,Malattia,Sconosciuto,Mondiale,,,,,,0,Bassa
2290,Malattia da inclusioni microvillari,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2290,Malattia,Malattia,<1 / 1 000 000,Europa,,,,,,5,Alta
2287,Fusione degli incisivi mandibolari,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2287,Anomalia morfologica,Malattia,Sconosciuto,Mondiale,,,,,,0,Bassa
2285,Invaginazione basilare primitiva,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2285,Anomalia morfologica,Malattia,Sconosciuto,Mondiale,,,,,,0,Bassa
251307,Pericardite idiopatica ricorrente,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=251307,Malattia,Malattia,Sconosciuto,Mondiale,,,,,,0,Bassa
251304,Panniculite ad esordio neonatale con uveite e granulomatosi sistemica,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=251304,Malattia,Malattia,,Mondiale,,,,,,0,Bassa
2674,"Sindrome neuro-muscolo-scheletrica, tipo cipriota",http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2674,Sindrome malformativa,Malattia,,Mondiale,,,,,,0,Bassa
2673,Sindrome neuro-facio-digito-renale,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=it&Expert=2673,Sindrome malformativa,Malattia,,Mondiale,,,,,,0,Bassa
